id: 2007_000033   Single mIoU: 0.9064
id: 2007_000042   Single mIoU: 0.8454
id: 2007_000061   Single mIoU: 0.7500
id: 2007_000123   Single mIoU: 0.9608
id: 2007_000129   Single mIoU: 0.7361
id: 2007_000175   Single mIoU: 0.9247
id: 2007_000187   Single mIoU: 0.9136
id: 2007_000323   Single mIoU: 0.9540
id: 2007_000332   Single mIoU: 0.6260
id: 2007_000346   Single mIoU: 0.9027
id: 2007_000452   Single mIoU: 0.4753
id: 2007_000464   Single mIoU: 0.9765
id: 2007_000491   Single mIoU: 0.9359
id: 2007_000529   Single mIoU: 0.1865
id: 2007_000559   Single mIoU: 0.8328
id: 2007_000572   Single mIoU: 0.4149
id: 2007_000629   Single mIoU: 0.5409
id: 2007_000636   Single mIoU: 0.6311
id: 2007_000661   Single mIoU: 0.4519
id: 2007_000663   Single mIoU: 0.6505
id: 2007_000676   Single mIoU: 0.9815
id: 2007_000727   Single mIoU: 0.7028
id: 2007_000762   Single mIoU: 0.8493
id: 2007_000783   Single mIoU: 0.8021
id: 2007_000799   Single mIoU: 0.9019
id: 2007_000804   Single mIoU: 0.4958
id: 2007_000830   Single mIoU: 0.6995
id: 2007_000837   Single mIoU: 0.9360
id: 2007_000847   Single mIoU: 0.6826
id: 2007_000862   Single mIoU: 0.5660
id: 2007_000925   Single mIoU: 0.9733
id: 2007_000999   Single mIoU: 0.8324
id: 2007_001154   Single mIoU: 0.6931
id: 2007_001175   Single mIoU: 0.3266
id: 2007_001239   Single mIoU: 0.5800
id: 2007_001284   Single mIoU: 0.6273
id: 2007_001288   Single mIoU: 0.9146
id: 2007_001289   Single mIoU: 0.9453
id: 2007_001299   Single mIoU: 0.8885
id: 2007_001311   Single mIoU: 0.6774
id: 2007_001321   Single mIoU: 0.8541
id: 2007_001377   Single mIoU: 0.3322
id: 2007_001408   Single mIoU: 0.4132
id: 2007_001423   Single mIoU: 0.6275
id: 2007_001430   Single mIoU: 0.6135
id: 2007_001457   Single mIoU: 0.7812
id: 2007_001458   Single mIoU: 0.9519
id: 2007_001526   Single mIoU: 0.9471
id: 2007_001568   Single mIoU: 0.8938
id: 2007_001585   Single mIoU: 0.3156
id: 2007_001586   Single mIoU: 0.4962
id: 2007_001587   Single mIoU: 0.8161
id: 2007_001594   Single mIoU: 0.4077
id: 2007_001630   Single mIoU: 0.8176
id: 2007_001677   Single mIoU: 0.9117
id: 2007_001678   Single mIoU: 0.6291
id: 2007_001717   Single mIoU: 0.4777
id: 2007_001733   Single mIoU: 0.8893
id: 2007_001761   Single mIoU: 0.9345
id: 2007_001763   Single mIoU: 0.5179
id: 2007_001774   Single mIoU: 0.9862
id: 2007_001884   Single mIoU: 0.5458
id: 2007_001955   Single mIoU: 0.3308
id: 2007_002046   Single mIoU: 0.9489
id: 2007_002094   Single mIoU: 0.9207
id: 2007_002119   Single mIoU: 0.4726
id: 2007_002132   Single mIoU: 0.9469
id: 2007_002260   Single mIoU: 0.9580
id: 2007_002266   Single mIoU: 0.9630
id: 2007_002268   Single mIoU: 0.4719
id: 2007_002284   Single mIoU: 0.7947
id: 2007_002376   Single mIoU: 0.8825
id: 2007_002378   Single mIoU: 0.4786
id: 2007_002387   Single mIoU: 0.8361
id: 2007_002400   Single mIoU: 0.9397
id: 2007_002412   Single mIoU: 0.8076
id: 2007_002426   Single mIoU: 0.3773
id: 2007_002427   Single mIoU: 0.1551
id: 2007_002445   Single mIoU: 0.9581
id: 2007_002470   Single mIoU: 0.9632
id: 2007_002539   Single mIoU: 0.5714
id: 2007_002565   Single mIoU: 0.8443
id: 2007_002597   Single mIoU: 0.8274
id: 2007_002618   Single mIoU: 0.9273
id: 2007_002619   Single mIoU: 0.9456
id: 2007_002624   Single mIoU: 0.6707
id: 2007_002643   Single mIoU: 0.4285
id: 2007_002648   Single mIoU: 0.9437
id: 2007_002719   Single mIoU: 0.3959
id: 2007_002728   Single mIoU: 0.5831
id: 2007_002823   Single mIoU: 0.8527
id: 2007_002824   Single mIoU: 0.9830
id: 2007_002852   Single mIoU: 0.9497
id: 2007_002903   Single mIoU: 0.9508
id: 2007_003011   Single mIoU: 0.3710
id: 2007_003020   Single mIoU: 0.7062
id: 2007_003022   Single mIoU: 0.7927
id: 2007_003051   Single mIoU: 0.9533
id: 2007_003088   Single mIoU: 0.6325
id: 2007_003101   Single mIoU: 0.5999
