id: 2007_000033   Single mIoU: 0.9358
id: 2007_000042   Single mIoU: 0.9101
id: 2007_000061   Single mIoU: 0.7516
id: 2007_000123   Single mIoU: 0.9805
id: 2007_000129   Single mIoU: 0.8023
id: 2007_000175   Single mIoU: 0.9479
id: 2007_000187   Single mIoU: 0.6760
id: 2007_000323   Single mIoU: 0.9288
id: 2007_000332   Single mIoU: 0.5874
id: 2007_000346   Single mIoU: 0.8296
id: 2007_000452   Single mIoU: 0.5503
id: 2007_000464   Single mIoU: 0.9835
id: 2007_000491   Single mIoU: 0.9304
id: 2007_000529   Single mIoU: 0.2404
id: 2007_000559   Single mIoU: 0.8108
id: 2007_000572   Single mIoU: 0.4288
id: 2007_000629   Single mIoU: 0.5814
id: 2007_000636   Single mIoU: 0.9341
id: 2007_000661   Single mIoU: 0.4017
id: 2007_000663   Single mIoU: 0.4525
id: 2007_000676   Single mIoU: 0.9833
id: 2007_000727   Single mIoU: 0.6520
id: 2007_000762   Single mIoU: 0.7808
id: 2007_000783   Single mIoU: 0.8665
id: 2007_000799   Single mIoU: 0.8913
id: 2007_000804   Single mIoU: 0.5051
id: 2007_000830   Single mIoU: 0.4975
id: 2007_000837   Single mIoU: 0.9405
id: 2007_000847   Single mIoU: 0.6817
id: 2007_000862   Single mIoU: 0.5942
id: 2007_000925   Single mIoU: 0.9804
id: 2007_000999   Single mIoU: 0.8228
id: 2007_001154   Single mIoU: 0.8228
id: 2007_001175   Single mIoU: 0.5602
id: 2007_001239   Single mIoU: 0.9489
id: 2007_001284   Single mIoU: 0.9446
id: 2007_001288   Single mIoU: 0.9047
id: 2007_001289   Single mIoU: 0.9782
id: 2007_001299   Single mIoU: 0.9635
id: 2007_001311   Single mIoU: 0.7406
id: 2007_001321   Single mIoU: 0.9411
id: 2007_001377   Single mIoU: 0.5301
id: 2007_001408   Single mIoU: 0.5968
id: 2007_001423   Single mIoU: 0.9257
id: 2007_001430   Single mIoU: 0.7514
id: 2007_001457   Single mIoU: 0.7778
id: 2007_001458   Single mIoU: 0.9761
id: 2007_001526   Single mIoU: 0.9766
id: 2007_001568   Single mIoU: 0.7726
id: 2007_001585   Single mIoU: 0.4281
id: 2007_001586   Single mIoU: 0.6241
id: 2007_001587   Single mIoU: 0.7732
id: 2007_001594   Single mIoU: 0.3823
id: 2007_001630   Single mIoU: 0.8576
id: 2007_001677   Single mIoU: 0.8249
id: 2007_001678   Single mIoU: 0.6585
id: 2007_001717   Single mIoU: 0.4904
id: 2007_001733   Single mIoU: 0.9066
id: 2007_001761   Single mIoU: 0.9794
id: 2007_001763   Single mIoU: 0.6553
id: 2007_001774   Single mIoU: 0.9835
id: 2007_001884   Single mIoU: 0.5938
id: 2007_001955   Single mIoU: 0.4779
id: 2007_002046   Single mIoU: 0.9708
id: 2007_002094   Single mIoU: 0.9868
id: 2007_002119   Single mIoU: 0.6375
id: 2007_002132   Single mIoU: 0.9637
id: 2007_002260   Single mIoU: 0.9807
id: 2007_002266   Single mIoU: 0.9715
id: 2007_002268   Single mIoU: 0.4739
id: 2007_002284   Single mIoU: 0.8380
id: 2007_002376   Single mIoU: 0.9373
id: 2007_002378   Single mIoU: 0.3886
id: 2007_002387   Single mIoU: 0.8608
id: 2007_002400   Single mIoU: 0.9821
id: 2007_002412   Single mIoU: 0.6156
id: 2007_002426   Single mIoU: 0.3637
id: 2007_002427   Single mIoU: 0.1964
id: 2007_002445   Single mIoU: 0.9466
id: 2007_002470   Single mIoU: 0.9817
id: 2007_002539   Single mIoU: 0.5719
id: 2007_002565   Single mIoU: 0.8102
id: 2007_002597   Single mIoU: 0.8064
id: 2007_002618   Single mIoU: 0.3086
id: 2007_002619   Single mIoU: 0.9469
id: 2007_002624   Single mIoU: 0.5382
id: 2007_002643   Single mIoU: 0.5623
id: 2007_002648   Single mIoU: 0.9573
id: 2007_002719   Single mIoU: 0.1833
id: 2007_002728   Single mIoU: 0.9517
id: 2007_002823   Single mIoU: 0.6554
id: 2007_002824   Single mIoU: 0.9967
id: 2007_002852   Single mIoU: 0.9395
id: 2007_002903   Single mIoU: 0.9447
id: 2007_003011   Single mIoU: 0.3212
id: 2007_003020   Single mIoU: 0.7086
id: 2007_003022   Single mIoU: 0.8368
id: 2007_003051   Single mIoU: 0.9850
id: 2007_003088   Single mIoU: 0.6386
id: 2007_003101   Single mIoU: 0.5722
